time,liquid_volume,tank_volume,original_gravity,flowrate,original_brix,brix
2021-10-25 04:44:19.064,56.0,100.0,1.02047032,0.12954,5.2,
2021-10-25 04:44:34.424,56.0,100.0,1.02047032,0.53222125,5.2,
2021-10-25 04:44:44.446,,,,,,
2021-10-25 04:44:48.603,,,,,,5.1
2021-10-25 04:44:48.612,,,,,,5.1
2021-10-25 04:44:48.613,,,,,,5.1
2021-10-25 04:44:48.615,,,,,,
2021-10-25 04:44:49.803,56.0,100.0,1.02047032,0.4765875,5.2,
2021-10-25 04:44:50.324,,,,,,5.1
2021-10-25 04:44:50.333,,,,,,5.1
2021-10-25 04:44:50.334,,,,,,5.1
2021-10-25 04:44:50.336,,,,,,
2021-10-25 04:44:52.083,,,,,,5.1
2021-10-25 04:44:52.091,,,,,,5.1
2021-10-25 04:44:52.092,,,,,,5.1
2021-10-25 04:44:52.094,,,,,,
2021-10-25 04:44:53.804,,,,,,5.1
2021-10-25 04:44:53.812,,,,,,5.1
2021-10-25 04:44:53.814,,,,,,
2021-10-25 04:44:55.564,,,,,,5.1
2021-10-25 04:44:55.573,,,,,,5.1
2021-10-25 04:44:55.575,,,,,,
2021-10-25 04:44:57.324,,,,,,5.1
2021-10-25 04:44:57.332,,,,,,5.1
2021-10-25 04:44:57.335,,,,,,
2021-10-25 04:44:58.904,,,,,,5.1
2021-10-25 04:44:58.912,,,,,,5.1
2021-10-25 04:44:58.915,,,,,,
2021-10-25 04:45:00.643,,,,,,5.1
2021-10-25 04:45:00.652,,,,,,5.1
2021-10-25 04:45:00.654,,,,,,
2021-10-25 04:45:02.385,,,,,,5.1
2021-10-25 04:45:02.393,,,,,,5.1
2021-10-25 04:45:02.395,,,,,,
2021-10-25 04:45:04.164,,,,,,5.1
2021-10-25 04:45:04.172,,,,,,5.1
2021-10-25 04:45:04.175,,,,,,
2021-10-25 04:45:05.164,56.0,100.0,1.02047032,0.4315275,5.2,
2021-10-25 04:45:05.765,,,,,,5.1
2021-10-25 04:45:05.773,,,,,,5.1
